RoutesID,Origin_Location,Destination_Location,Market/Regular ,Planned_ETA,TRANSPORTATION_DISTANCE_IN_KM
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 18:40,69
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/24/2020 18:12,525
,"Gopanapalli, Krishnagiri, Tamil Nadu","Kamarajnagar, Tiruvallur, Tamil Nadu",Regular,8/30/2020 13:56,365
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 4:40,21
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:46,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:49,110
,"ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:59,110
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 15:29,20
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/17/2020 14:30,310
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 23:53,61
